BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,PLCB,PRCB,PLFB,PRFB,PKAC,PACC,PMPC,PPRC,RCHD,PGID,TGID,POID,PUND,PHPD,PSPD,PRSD,PGHE,PUHE,PPOE,PBRE,PEYE,TRAF,PPBF,PBSH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PPRI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,PTRK,PBTK,PTAL,PIBL,PHCL,PLEL,PREL,PLKL,PSPL,PLSL,PHLM,PSTM,PHAN,PJEN,PTEN,PLHN,PRHN,PLKN,PRKN,PLSO,PTHP,PIMP,PJMP,PTYP,PCAR,PSAR,PTAR,PLCR,PJER,PLKR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,PESV,PBFW,PLHW,PLTW,PLSY,PSTY,sgmp
5,5,5,2,5,5,3,3,40,Vince,Sanford,5,5,5,83,0,0,0,0,0,0,0,40,84,0,70,8835,70,1,70,0,0,78,0,191,0,75,0,0,56,40,70,4,4,62,1,1,84,0,80,1,75,40,40,0,0,26,40,52,0,40,0,0,0,0,0,0,5,0,0,26,0,0,0,1,1,1,40,40,40,0,40,40,0,1,0,0,40,0,0,40,78,73,73,0,0,40,40,5,0,40,0,13,70,60,7,6,53,6,6,73,6,50,75,6,40,6,6,0,40,65,70,70,40,75,40,40,40,0,0,0,0,0
3,7,7,3,7,7,3,3,19,Kenny,Ngaima,2,7,7,70,0,0,0,0,0,0,0,21,80,0,70,9488,71,1,71,0,0,65,0,193,0,84,0,0,43,76,65,4,4,48,2,2,80,18,77,1,70,39,46,0,0,34,45,47,0,38,2,0,0,0,0,0,5,0,0,58,0,0,0,1,1,1,19,68,64,0,27,48,0,0,0,0,22,0,0,24,80,69,69,11,11,84,83,3,0,37,3,12,70,50,14,13,33,13,13,74,13,105,70,13,48,13,13,0,40,53,50,65,46,70,33,43,79,0,0,0,0,0
6,6,6,3,6,6,3,3,39,Noah,Bush,2,6,6,78,0,0,1,1,1,0,0,39,82,0,76,10867,72,1,72,0,0,77,0,68,0,65,0,0,56,28,71,3,3,60,1,1,82,2,81,1,66,37,30,0,0,15,43,58,0,35,0,0,0,0,0,0,5,0,0,51,0,0,0,1,1,1,38,78,79,0,63,36,0,0,0,0,38,0,0,65,76,69,69,10,10,40,29,6,1,59,2,14,76,64,6,7,50,7,7,72,7,60,75,7,67,7,7,0,60,64,67,65,71,65,71,58,38,0,1,0,0,0
5,5,5,2,5,5,3,3,40,Emmanuel,Michel,0,5,5,85,0,0,0,0,0,0,0,39,84,0,45,2318,73,1,73,0,0,77,0,124,0,52,0,1,65,46,37,3,3,65,2,2,84,7,83,1,44,65,67,0,0,21,75,75,0,65,0,0,0,0,0,0,5,0,0,28,2,0,0,1,1,1,40,72,79,0,62,82,0,0,0,0,41,0,0,67,75,68,68,1,1,48,43,2,0,60,2,2,14,29,7,6,59,6,6,70,6,55,35,6,67,6,6,0,60,33,40,12,67,49,67,65,51,0,0,0,0,0
2,8,8,2,8,8,3,3,21,Isaac,Cochran,2,8,8,70,0,0,0,0,0,0,0,26,65,0,49,8193,74,1,74,0,0,55,0,17,0,63,0,0,51,32,45,4,4,48,2,2,65,13,85,0,48,76,77,0,0,34,24,40,0,76,2,0,0,1,0,0,5,0,0,73,1,0,0,1,1,1,21,72,57,0,33,39,0,0,0,1,18,0,0,33,85,70,70,1,1,42,29,3,0,45,5,8,38,47,16,20,37,20,20,77,20,160,40,20,48,20,20,0,17,26,40,49,69,52,69,29,39,0,0,0,0,0
7,7,7,3,7,7,3,3,34,James,Jones IV,2,7,7,86,0,0,0,0,0,0,0,41,96,0,78,1354,75,1,75,0,0,89,0,224,0,78,0,0,58,43,66,3,3,66,1,1,96,0,79,1,73,40,41,0,0,33,56,59,0,42,0,0,0,0,0,7,5,0,0,4,1,0,0,1,1,1,26,65,81,0,58,49,0,0,0,0,32,0,7,56,60,74,74,1,1,42,41,6,0,70,2,16,78,77,4,4,56,4,4,74,4,35,64,4,82,4,4,0,56,75,75,66,68,64,65,62,43,0,0,0,0,0
5,5,5,2,5,5,3,3,40,Kyle,Patterson,2,5,5,83,0,0,0,0,0,0,0,41,80,0,65,599,76,1,76,0,0,77,0,19,0,76,0,1,74,31,45,3,3,76,1,1,80,10,77,1,63,69,71,0,0,21,73,73,0,67,0,0,0,0,0,7,5,2,0,88,2,0,0,1,1,1,38,62,84,0,75,83,0,0,0,0,38,0,7,76,78,76,76,0,0,45,45,4,0,74,3,4,61,54,7,10,74,10,10,78,10,85,55,10,81,10,10,0,65,57,55,41,70,40,70,65,42,0,1,0,0,0
8,8,8,3,8,8,3,3,40,Tre,Bugg III,0,8,8,90,0,0,0,1,1,0,0,39,93,0,90,599,77,1,77,0,0,86,0,94,0,71,0,0,53,28,70,3,3,65,1,1,93,0,80,1,70,41,41,0,0,33,42,55,0,37,0,0,0,0,0,4,5,9,0,3,2,0,0,1,1,1,38,62,76,0,52,34,0,0,0,0,40,0,4,56,65,84,84,0,0,38,38,3,1,70,2,16,90,90,1,2,54,2,2,72,2,20,66,2,78,2,2,0,54,90,90,70,75,66,75,54,43,0,1,0,0,0
3,7,7,2,7,7,3,3,22,Christopher,Herrera,2,7,7,70,0,0,0,0,0,0,0,26,80,0,75,10870,78,1,78,0,0,70,0,115,0,36,0,1,36,28,75,4,4,39,2,2,80,2,76,0,70,51,26,0,0,34,20,23,0,37,0,7,7,0,0,12,5,0,0,49,0,0,0,1,1,1,28,76,56,0,40,17,0,0,0,0,28,0,12,34,77,75,75,10,10,51,19,4,0,23,5,10,75,37,14,14,33,14,14,77,14,115,77,14,52,14,14,0,27,50,50,77,18,77,29,22,27,0,0,0,0,0
4,6,7,1,4,6,3,3,36,Luke,Hallstrom,2,7,6,85,0,0,0,0,0,0,0,43,76,0,42,3079,79,1,79,0,0,66,0,98,0,51,0,1,53,70,42,3,3,52,2,2,76,0,81,1,57,73,75,0,0,43,65,64,0,74,2,0,0,0,0,0,5,0,0,64,1,0,0,2,2,1,45,68,63,0,57,57,0,0,0,0,40,0,0,53,82,70,70,10,10,64,72,3,1,62,2,7,53,35,4,16,53,16,16,74,16,130,58,16,66,16,16,0,51,36,37,36,63,63,69,51,69,0,0,0,0,0
